id,name,vram,created_at,manufacturer,link,architecture,use_cases,description,slug,image_url,compute_units,cuda_cores,tensor_cores,rt_cores,memory_bandwidth_gbps,memory_interface_bit,manufacturing_process_nm,tdp_watt,max_power_watt,release_date,end_of_life_date,fp16_performance_tflops,fp32_performance_tflops,fp64_performance_tflops,int8_performance_tops,ml_perf_inference_score,ml_perf_training_score,msrp_usd,server_gpu,cloud_compatible,detailed_description,pros,cons,features,benchmark_links,affiliate_links,performance_tier,generation
ea52929c-d3f4-4027-a97a-e174b294a784,MI300X,192.0,2025-02-15 00:30:47.666563+00,AMD,https://www.amd.com/en/products/accelerators/instinct/mi300/mi300x.html,CDNA 3,AI and HPC applications. Large scale training tasks.,"First introduced in 2024, the AMD MI300X merges CPU and GPU functionalities under a unified memory system, streamlining AI and HPC workloads. AMD emphasizes its enhanced efficiency for large-scale training tasks, while also highlighting the platform’s versatility across diverse workloads.",mi300x,,304.0,,,,5300.0,,5.0,750.0,750.0,2023,,1305.0,163.4,81.7,2610.0,,,,False,True,,,,,,,,
f82875ca-e3e8-4742-9233-82b1203b99a5,RTX 3090,24.0,2024-12-19 19:45:00.592604+00,NVIDIA,https://www.nvidia.com/en-us/geforce/graphics-cards/30-series/rtx-3090-3090ti/,Ampere,"Deep learning, data science",,rtx3090,,,10496.0,328.0,82.0,936.2,384.0,8.0,350.0,350.0,Sep 2020,,,35.58,0.5559375,,,,,False,True,,,,,,,,
65705086-e514-4584-95f6-39d2252455be,RTX 4080,16.0,2024-12-19 19:45:00.592604+00,NVIDIA,https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/rtx-4080-family/,Ada Lovelace,"Professional graphics, VR applications",,rtx4080,,,9728.0,304.0,76.0,716.8,256.0,5.0,320.0,320.0,"Nov 20, 2022",,,48.834559999999996,0.7630399999999999,,,,,False,True,,,,,,,,
689b878b-64ad-4cd3-8480-ef53ea39d665,RTX 4090,24.0,2024-12-19 19:45:00.592604+00,NVIDIA,https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/rtx-4090/,Ada Lovelace,"High-end AI/ML workloads, 3D rendering",,rtx4090,,,16384.0,512.0,128.0,1008.0,384.0,5.0,450.0,450.0,"Oct 12th, 2022",,,82.6,1.290625,,,,,False,True,,,,,,,,
72fd4577-5489-424d-8a88-25b867b83fc2,RTX 6000 Ada,48.0,2024-12-19 19:45:00.592604+00,NVIDIA,https://www.nvidia.com/en-us/design-visualization/rtx-6000/,Ada Lovelace,"Professional visualization, AI",,rtx6000ada,,,18176.0,568.0,142.0,960.0,384.0,4.0,300.0,300.0,2022,,728.5,91.1,1.4234375,728.5,,,,False,True,,,,,,,,
8a657d8d-720b-4532-8422-30cc9ac6e588,RTX A4000,16.0,2024-12-19 19:45:00.592604+00,NVIDIA,https://www.nvidia.com/en-us/design-visualization/rtx-a4000/,Ampere,"Professional visualization, AI",,rtxa4000,,,6144.0,192.0,48.0,448.0,256.0,8.0,140.0,140.0,"August 15, 2021",,76.7,19.2,0.3,153.4,,,,False,True,,,,,,,,
05333202-7123-48b9-a58f-8c41446e390b,RTX A5000,24.0,2024-12-19 19:45:00.592604+00,NVIDIA,https://www.nvidia.com/en-in/design-visualization/rtx-a5000/,Ampere,"Professional visualization, AI",,rtxa5000,,,8192.0,256.0,64.0,768.0,384.0,8.0,230.0,230.0,"Apr 12, 2021",,111.1,27.8,0.434375,222.2,,,,False,True,,,,,,,,
1149ba7f-4499-4abc-ade8-bdcbe4ba386c,RTX A6000,48.0,2024-12-19 19:45:00.592604+00,NVIDIA,https://www.nvidia.com/en-us/design-visualization/rtx-a6000/,Ampere,"Professional visualization, AI",,rtxa6000,,,10752.0,336.0,84.0,768.0,384.0,8.0,300.0,300.0,2020,,154.85,38.7,0.6046875,309.7,,,,False,True,,,,,,,,
0930daf2-de70-4494-8beb-1933377652b4,Tesla T4,16.0,2024-12-19 19:45:00.592604+00,NVIDIA,https://www.nvidia.com/en-us/data-center/tesla-t4/,Turing,"Inference, video transcoding",,t4,,,2560.0,320.0,40.0,320.0,256.0,12.0,70.0,70.0,"September 13th, 2018",,65.0,8.1,0.253125,130.0,,,,False,True,,,,,,,,
dfa19b27-8663-43ad-8d35-8ed5a2569ae3,Tesla V100,32.0,2024-12-19 19:45:00.592604+00,NVIDIA,https://www.nvidia.com/en-gb/data-center/tesla-v100/,Volta,"AI training, HPC",,v100,,,5120.0,640.0,,900.0,4096.0,12.0,250.0,250.0,2017,,112.0,14.0,7.0,,,,,False,True,,,,,,,,
